49	180	189	37	2	188	21	76	10	72	185	133	126	178	16	247	13	90	142	82	181	157	123	59	96	156	127	207	227	45	125	126	49	187	49
159	56	150	7	230	93	194	14	44	137	249	25	207	66	171	17	23	113	18	151	83	111	8	213	138	112	153	246	43	192	175	83	189	80	163
112	236	120	152	250	205	130	159	144	197	137	182	244	234	88	81	227	148	96	156	108	151	28	25	132	134	76	245	226	12	72	29	244	127	213
201	113	27	29	142	200	169	5	44	225	113	226	163	136	151	178	43	158	118	131	180	243	229	52	105	199	118	151	179	21	173	248	132	12	120
199	232	58	243	21	179	161	218	145	163	5	145	233	142	58	163	92	45	199	37	40	141	228	60	99	64	126	79	108	9	126	70	110	149	148
69	15	230	83	85	159	94	78	131	218	155	254	177	82	68	161	167	221	184	224	112	231	234	152	87	118	149	235	221	119	202	47	5	72	27
70	47	106	49	186	126	114	194	222	153	246	45	10	86	238	212	154	181	59	188	161	35	78	160	102	216	222	12	60	154	56	55	129	75	118
205	12	137	117	36	215	106	144	184	177	247	3	213	85	211	182	101	43	6	95	236	0	76	251	117	173	213	57	144	46	191	194	175	32	226
245	172	1	235	141	182	122	9	231	137	238	116	94	250	37	85	95	218	65	212	91	156	168	45	98	94	199	92	6	132	116	241	35	228	119
224	152	76	225	69	113	251	144	71	227	47	238	239	52	165	42	16	5	104	23	209	138	152	204	168	35	140	105	97	181	104	128	172	115	119
91	136	111	64	249	7	95	168	65	13	159	216	123	170	226	195	109	164	2	16	163	199	251	39	225	103	157	241	92	236	236	169	10	166	50
128	11	156	89	170	92	3	46	179	200	105	121	32	147	189	91	184	41	120	129	183	210	157	92	146	238	187	148	23	135	38	88	110	207	9
174	143	235	46	65	187	236	204	230	37	92	231	246	13	132	22	196	65	218	238	189	244	39	244	109	172	144	47	11	248	33	32	218	72	157
182	84	160	230	27	121	223	156	251	15	9	57	4	138	34	186	49	87	236	38	248	156	212	33	66	107	198	152	87	140	97	174	108	69	144
94	128	180	180	198	88	90	142	164	15	222	77	173	53	10	225	220	1	59	145	62	74	208	69	221	145	252	239	90	1	138	100	22	98	27
143	28	38	186	200	164	161	161	84	13	172	183	35	23	213	10	7	112	253	15	10	211	23	207	44	10	202	34	254	121	241	6	14	107	189
128	155	190	230	194	32	91	175	155	132	22	185	39	222	29	44	230	204	1	43	63	96	227	247	148	254	157	251	241	133	82	128	26	238	46
3	144	212	199	234	43	54	61	210	103	227	4	166	7	133	107	60	172	85	17	11	155	4	23	186	158	40	39	33	38	24	135	124	222	89
197	1	162	153	168	188	57	201	160	255	200	73	251	247	223	87	32	139	202	231	180	158	221	149	186	199	121	210	132	167	242	57	172	113	123
225	158	112	74	145	32	107	219	30	27	81	148	177	83	9	11	81	144	25	114	213	113	230	103	103	238	72	173	122	33	219	0	23	7	164
93	233	39	38	51	94	18	186	73	83	209	238	195	105	177	28	217	3	113	27	239	50	217	230	30	87	39	103	102	116	6	114	213	27	159
157	202	145	85	178	154	166	177	252	255	129	86	108	34	121	112	213	155	97	170	120	113	167	21	195	207	198	55	238	251	30	129	198	50	194
19	253	135	168	243	26	193	120	110	102	5	30	35	32	43	18	88	253	213	128	131	236	84	46	136	223	15	198	131	33	212	20	15	60	73
94	245	243	18	227	205	238	219	147	226	110	132	55	105	16	208	61	57	182	104	67	171	139	12	184	170	20	217	207	15	35	210	82	211	126
238	202	122	14	254	242	96	170	134	145	114	178	195	158	8	221	137	150	90	186	25	20	60	77	152	150	170	135	225	17	145	61	96	229	174
166	73	128	82	209	250	76	85	50	244	61	76	13	33	62	33	69	213	6	44	204	146	223	48	108	228	133	104	195	24	122	2	128	7	130
101	159	137	151	139	225	95	132	42	226	212	220	125	249	28	49	8	202	177	98	36	30	45	2	238	114	114	4	118	209	78	57	115	146	196
201	122	209	218	115	160	211	101	128	199	190	231	46	46	103	111	160	84	107	68	206	255	94	32	254	62	78	38	18	161	14	21	119	206	76
81	50	14	73	227	238	230	7	253	8	150	196	161	194	10	248	133	91	219	78	225	255	194	28	140	208	4	205	120	200	239	211	26	107	140
145	97	171	44	249	185	109	147	100	246	126	66	141	123	237	198	10	245	147	45	127	177	78	186	186	178	75	107	51	19	231	182	95	134	62
222	13	196	34	151	183	0	217	182	133	124	240	145	196	239	33	193	57	240	123	234	95	157	61	7	104	68	86	53	248	184	62	5	73	113
111	115	181	254	93	10	10	243	45	53	68	240	209	77	207	237	253	54	225	161	105	102	56	230	221	1	9	76	45	226	167	16	114	168	207
205	251	203	45	82	112	36	174	18	224	154	190	240	3	48	211	205	39	117	15	51	236	223	84	255	244	205	183	90	161	100	109	228	23	26
36	31	142	81	223	72	153	19	40	57	192	233	49	118	150	100	88	126	4	50	164	62	165	223	83	154	85	255	233	237	249	180	198	210	58
180	30	247	145	55	85	27	104	41	35	69	60	182	180	231	35	85	66	17	71	102	169	121	60	217	1	228	141	110	101	182	183	63	206	202
